e401k,inc,marr,male,age,fsize,nettfa,p401k,pira
1,55.08000183105469,1,0,54,2,44.042999267578125,1,0
1,20.760000228881836,0,1,55,1,7.954999923706055,0,0
0,14.282999992370605,0,1,40,1,0.02800000086426735,0,0
0,20.43600082397461,1,0,31,4,-0.20000000298023224,0,0
0,26.38800048828125,1,0,26,4,0.8659999966621399,0,0
0,46.104000091552734,1,0,39,3,4.349999904632568,0,0
1,49.709999084472656,1,0,42,3,27.097000122070312,0,1
1,76.805999755859375,1,0,52,2,80.04900360107422,1,0
1,39.70500183105469,1,0,39,4,71.569000244140625,0,1
0,11.220000267028809,0,0,30,3,0,0,0
0,18.347999572753906,0,0,50,4,0.30000001192092896,0,0
0,13.949999809265137,0,0,49,6,0,0,0
0,15.215999603271484,1,0,32,10,0.20000000298023224,0,0
0,36.150001525878906,1,0,32,4,-2.200000047683716,0,0
0,47.34000015258789,0,1,27,2,-10.430000305175781,0,0
0,63.224998474121094,1,0,40,6,10.571000099182129,0,1
1,26.0310001373291,0,0,49,2,0.5,0,0
0,20.399999618530273,1,0,36,5,0,0,0
0,17.92799949645996,0,0,36,3,0,0,0
1,31.799999237060547,1,0,38,5,12.510000228881836,1,0
0,30,1,1,42,2,-15.100000381469727,0,0
0,26.46299934387207,0,0,43,1,10.01099967956543,0,1
1,73.72200012207031,1,0,42,5,3.200000047683716,1,0
0,33.41400146484375,1,0,32,4,-4.699999809265137,0,0
1,34.08000183105469,1,0,35,6,5.099999904632568,0,0
1,48.900001525878906,0,0,61,1,28.079999923706055,1,1
1,21,0,1,41,1,-2.3469998836517334,0,0
1,39.60900115966797,1,0,59,2,48.683998107910156,0,1
1,80.8499984741211,1,0,45,5,132.4250030517578,1,1
1,91.76100158691406,1,0,35,4,-3.450000047683716,0,0
0,46.71900177001953,1,0,41,5,4,0,0
0,19.200000762939453,0,1,25,1,0,0,0
1,102.70500183105469,1,0,35,2,56.599998474121094,1,0
0,54.965999603271484,1,0,33,3,1.399999976158142,0,0
0,12.75,0,1,38,2,0,0,0
1,52.83599853515625,1,0,50,2,37.650001525878906,1,0
0,12.720000267028809,1,0,32,3,0,0,0
1,26.645999908447266,0,0,28,1,62.67900085449219,1,0
0,59.66400146484375,1,0,44,5,11.399999618530273,0,1
0,39.150001525878906,1,0,58,2,189.39999389648438,0,1
0,21.299999237060547,1,0,47,6,-0.9860000014305115,0,0
0,30.8700008392334,0,0,48,3,10.949999809265137,0,1
0,16.5,1,0,57,2,23,0,0
0,32.59199905395508,1,0,57,4,-2.0999999046325684,0,0
0,27.344999313354492,1,0,34,5,0.4090000092983246,0,0
0,35.417999267578125,1,0,57,5,-5.75,0,0
0,24.299999237060547,0,0,45,1,0.05000000074505806,0,0
1,52.3650016784668,1,0,46,2,6,0,0
0,26.864999771118164,1,1,29,4,-1.9450000524520874,0,0
0,39.47999954223633,1,0,35,3,40.20000076293945,0,1
1,45.69300079345703,1,0,40,2,18.576000213623047,1,1
0,39.29999923706055,1,0,42,5,-4.900000095367432,0,0
0,14.244000434875488,0,0,60,1,120,0,1
0,43.518001556396484,1,0,27,3,-7.5,0,0
0,10.857000350952148,0,1,27,1,1.0460000038146973,0,0
0,51.22200012207031,0,0,33,3,1.600000023841858,0,0
0,34.763999938964844,1,1,63,2,3,0,0
0,16.958999633789062,1,0,43,7,-0.5,0,0
0,23.639999389648438,1,0,26,5,-6.000999927520752,0,0
1,56.30400085449219,1,0,45,4,29.399999618530273,1,0
1,107.09700012207031,1,0,54,2,47.922000885009766,0,0
1,46.81800079345703,1,0,39,4,1.7999999523162842,1,1
0,13.109999656677246,0,0,30,3,0,0,0
0,29.15999984741211,0,0,36,3,4.244999885559082,0,0
1,42.540000915527344,1,0,52,2,30.100000381469727,1,0
0,74.30999755859375,1,0,49,6,-5.5,0,0
0,27.729000091552734,1,0,31,6,-4.880000114440918,0,0
0,15,0,0,42,3,49.53799819946289,0,0
1,54.722999572753906,1,0,57,2,21.947999954223633,1,0
0,61.58100128173828,1,0,44,4,61.36600112915039,0,1
1,72.029998779296875,1,0,43,2,21.99799919128418,0,1
1,37.3380012512207,1,0,48,7,-18.889999389648438,0,1
0,27.354000091552734,0,0,39,3,2.5999999046325684,0,1
1,92.89800262451172,0,1,27,1,30.957000732421875,1,1
0,42.94200134277344,1,0,33,4,-2.2049999237060547,0,0
1,31.017000198364258,1,0,31,5,1.2089999914169312,0,1
1,23.892000198364258,0,0,35,1,5.249000072479248,1,0
1,44.459999084472656,1,0,39,2,38.30699920654297,1,1
0,33.720001220703125,1,1,30,2,-2.552000045776367,0,0
0,52.82099914550781,1,0,37,5,3.299999952316284,0,1
1,86.4000015258789,1,0,43,4,45.099998474121094,0,1
0,14.762999534606934,1,0,31,4,-5.006999969482422,0,0
1,107.3010025024414,1,0,50,3,371.9010009765625,1,1
0,20.385000228881836,0,0,27,1,-0.800000011920929,0,0
1,41.5260009765625,1,0,35,2,-1.5,0,0
0,27.375,1,0,41,4,-1.2000000476837158,0,0
0,24.336000442504883,1,0,42,4,-0.30000001192092896,0,0
1,34.42499923706055,1,0,40,4,-6.460000038146973,1,0
0,43.13100051879883,1,0,45,2,59.15999984741211,0,1
1,57.0629997253418,1,0,54,4,138.99899291992188,1,1
1,41.53499984741211,0,1,30,1,83.69999694824219,0,1
0,61.72200012207031,1,1,32,3,-2.4800000190734863,0,0
0,99.15299987792969,1,0,43,2,80.802001953125,0,1
0,37.29600143432617,1,0,28,3,-2,0,0
1,27.059999465942383,0,0,38,3,37.099998474121094,1,0
0,32.459999084472656,0,0,26,1,-4.489999771118164,0,0
1,28.490999221801758,0,1,46,3,4.019999980926514,1,0
1,19.59600067138672,0,1,41,2,-1.2000000476837158,1,0
1,18.540000915527344,0,0,37,5,0.9639999866485596,1,0
1,102.43499755859375,1,0,54,2,139.62899780273438,1,1
0,26.700000762939453,1,0,39,4,46,0,0
1,43.78799819946289,0,0,43,3,46.849998474121094,1,1
1,45.869998931884766,1,0,47,2,38.79999923706055,1,1
0,38.880001068115234,0,1,61,2,-17.700000762939453,0,0
0,17.70599937438965,0,0,43,3,3.3989999294281006,0,0
0,21.6299991607666,0,0,63,2,-0.7400000095367432,0,0
1,43.4370002746582,1,0,36,3,12.817999839782715,1,1
1,57.150001525878906,1,0,34,4,2.200000047683716,1,0
1,22.902000427246094,0,1,51,1,61.749000549316406,1,1
0,40.7400016784668,1,0,42,5,3.5999999046325684,0,1
0,13.182000160217285,1,0,32,4,-2.372999906539917,0,0
0,11.609999656677246,0,0,44,1,0.05000000074505806,0,0
1,108.58799743652344,1,0,62,2,84.19599914550781,0,0
1,29.77199935913086,1,0,53,2,1.1979999542236328,0,0
1,67.31999969482422,1,0,45,3,36.19900131225586,1,0
1,46.236000061035156,1,0,57,3,22.398000717163086,0,1
0,32.5890007019043,1,0,31,4,1.2999999523162842,0,0
0,60.49800109863281,1,0,40,2,10.050000190734863,0,1
0,30.209999084472656,0,1,30,2,3.0999999046325684,0,1
1,55.125,1,0,35,4,23.9689998626709,1,1
1,56.67599868774414,1,0,56,2,-6.238999843597412,0,0
1,70.845001220703125,1,0,57,2,200,1,1
0,46.814998626708984,0,0,44,3,30.902000427246094,0,1
1,14.430000305175781,0,0,27,1,-4.5,0,0
1,58.17300033569336,1,0,31,2,22.450000762939453,0,0
1,50.645999908447266,0,0,40,2,45.58399963378906,1,1
0,12.206999778747559,0,1,32,1,-0.8429999947547913,0,0
0,62.5260009765625,1,0,52,2,69.0999984741211,0,1
1,44.702999114990234,1,1,32,5,-14,0,0
0,85.37999725341797,1,0,25,4,-30.239999771118164,0,0
0,34.64699935913086,0,1,35,1,4.999000072479248,0,0
1,27.785999298095703,1,1,41,3,-0.0010000000474974513,0,0
1,54.45000076293945,1,0,63,2,94.5989990234375,1,1
1,19.63800048828125,0,1,52,1,8.5,1,0
1,33.3120002746582,0,0,36,2,77.19999694824219,1,0
0,24.534000396728516,1,0,25,3,5.150000095367432,0,0
0,18.360000610351562,0,1,28,1,0.014999999664723873,0,0
0,28.739999771118164,0,1,27,1,-1.2000000476837158,0,0
0,36.167999267578125,1,0,25,3,-1.5010000467300415,0,0
0,17.010000228881836,1,0,47,3,4.150000095367432,0,0
0,17.41200065612793,0,0,39,3,0,0,0
0,32.426998138427734,1,0,37,2,0.10000000149011612,0,0
0,38.05799865722656,0,1,28,1,5.199999809265137,0,0
1,58.31700134277344,1,0,46,3,36.5,0,1
0,15.821999549865723,1,0,26,2,11.399999618530273,0,0
0,43.275001525878906,1,0,26,2,-3.072999954223633,0,0
0,17.44499969482422,1,0,34,4,-7,0,0
1,21.638999938964844,1,0,42,4,0.24899999797344208,0,0
0,48.03300094604492,0,0,61,2,32.05500030517578,0,1
0,49.08000183105469,1,0,54,2,45.70000076293945,0,1
1,35.29199981689453,0,1,61,1,3,0,0
0,28.575000762939453,0,0,27,1,1.2489999532699585,0,0
0,33.36600112915039,0,1,43,1,12.598999977111816,0,0
1,35.47200012207031,0,1,51,2,60.39799880981445,1,0
0,42.93000030517578,1,1,35,3,-18.8799991607666,0,0
0,17.579999923706055,1,0,32,2,12.199999809265137,0,1
0,77.01000213623047,1,0,36,4,26,0,1
0,37.6619987487793,1,0,37,11,-2.381999969482422,0,0
1,20.43000030517578,1,0,57,1,-1.940000057220459,1,0
0,27.84000015258789,0,0,40,2,0,0,0
0,49.805999755859375,0,0,37,1,110.10299682617188,0,1
0,24.67799949645996,1,0,34,3,-0.31200000643730164,0,0
0,15.8100004196167,1,1,60,3,-3.200000047683716,0,0
1,17.628000259399414,1,0,27,4,12.34000015258789,1,0
0,20.4060001373291,1,0,37,4,-10.515000343322754,0,1
0,37.64400100708008,1,1,44,3,-6.656000137329102,0,0
0,89.17500305175781,1,1,43,3,-0.20000000298023224,0,0
0,30.165000915527344,1,1,56,3,-0.10100000351667404,0,0
0,27.29400062561035,0,0,34,2,-2.5,0,0
0,34.50899887084961,0,1,39,1,13.300000190734863,0,0
0,28.715999603271484,1,0,30,4,-19.174999237060547,0,0
1,15,0,1,38,1,2.8499999046325684,1,0
1,29.325000762939453,1,0,33,4,5.513000011444092,1,0
0,56.91299819946289,1,1,39,3,35.882999420166016,0,1
1,51.05099868774414,1,0,29,4,16.600000381469727,1,0
1,169.1999969482422,1,0,49,2,484.197998046875,1,1
0,25.70400047302246,0,0,49,1,-0.36899998784065247,0,0
0,25.799999237060547,0,0,37,1,13.5,0,1
1,110.98500061035156,1,0,36,4,10.800000190734863,1,0
0,35.625,1,0,34,5,-8,0,0
0,45.762001037597656,1,0,39,4,16.069000244140625,0,1
1,46.9109992980957,1,0,56,4,9.020000457763672,0,1
0,15.906000137329102,0,0,26,4,0.10000000149011612,0,0
1,50.43299865722656,1,0,29,2,14.12600040435791,1,0
1,53.84400177001953,1,0,44,4,4.730000019073486,0,1
0,28.356000900268555,1,0,26,2,4.591000080108643,0,0
1,50.400001525878906,0,1,39,2,5.800000190734863,1,0
1,33.150001525878906,0,0,43,2,24.68000030517578,1,0
0,16.488000869750977,1,0,27,6,-1.4220000505447388,0,0
0,41.775001525878906,0,1,50,1,9.49899959564209,0,1
1,36.14699935913086,1,0,34,4,-0.07100000232458115,1,1
0,34.95000076293945,0,0,41,3,0.5,0,0
1,31.0049991607666,0,1,27,1,0,0,0
1,48.52799987792969,1,0,46,3,3.2200000286102295,0,0
0,34.68000030517578,1,1,45,4,-57,0,0
0,12.600000381469727,0,0,42,1,-9.550000190734863,0,0
0,20.06999969482422,1,1,52,2,-4,0,0
0,38.319000244140625,1,0,31,3,0.09000000357627869,0,0
0,20.729999542236328,1,0,28,4,1.899999976158142,0,0
0,28.24799919128418,0,1,31,1,15.149999618530273,0,0
0,31.097999572753906,0,0,55,1,20.298999786376953,0,0
1,24.996000289916992,0,1,44,1,1.399999976158142,0,0
0,22.33799934387207,0,1,26,1,0.8920000195503235,0,0
0,86.79000091552734,1,1,27,4,1.399999976158142,0,0
0,14.654999732971191,0,0,27,3,0,0,0
1,16.224000930786133,0,0,42,6,-1.5,0,0
0,25.184999465942383,0,0,59,1,237.9499969482422,0,1
0,24,0,1,40,1,0,0,0
0,48.027000427246094,0,1,39,1,1.899999976158142,0,1
0,17.399999618530273,0,0,35,1,-10.100000381469727,0,0
0,18.75,1,0,35,7,0,0,0
1,30.576000213623047,0,0,31,1,13.5,1,0
1,91.7760009765625,1,1,42,5,12,1,0
0,17.850000381469727,0,1,25,1,0,0,0
1,29.309999465942383,0,0,54,1,4.800000190734863,0,0
1,66.85199737548828,1,0,42,3,10.901000022888184,1,0
1,23.06999969482422,0,0,30,1,2.1600000858306885,1,0
1,66.1500015258789,1,1,28,4,-1.2899999618530273,1,0
1,81.71099853515625,1,0,54,5,249.60000610351562,1,1
0,31.586999893188477,1,0,54,2,22.99799919128418,0,0
1,64.87799835205078,0,1,33,1,27.343000411987305,1,0
0,36.060001373291016,0,0,28,1,-5,0,0
0,33.599998474121094,1,0,39,2,-9,0,0
0,60.029998779296875,1,0,39,5,-3.299999952316284,0,0
0,60.224998474121094,0,1,37,1,-15.800000190734863,0,0
1,65.69999694824219,1,0,43,5,53.948001861572266,1,0
1,32.4900016784668,0,0,61,3,20.600000381469727,1,0
0,109.60800170898438,1,1,33,4,-9,0,0
1,97.88700103759766,1,0,44,4,60.19599914550781,1,1
1,50.268001556396484,0,1,41,1,20.100000381469727,1,0
0,55.5,1,0,63,2,55,0,1
1,50.48400115966797,1,0,36,4,8.600000381469727,0,0
0,70.904998779296875,1,0,41,6,1,0,0
0,16.139999389648438,0,1,35,1,12.99899959564209,0,0
0,17.966999053955078,0,0,30,4,-2,0,0
1,24.479999542236328,1,0,44,3,3.4000000953674316,1,0
0,25.0049991607666,1,0,60,3,-1.8289999961853027,0,0
0,31.469999313354492,1,0,31,2,-0.75,0,1
0,26.610000610351562,0,0,25,1,-5.800000190734863,0,0
0,22.01099967956543,1,0,31,7,-1.899999976158142,0,0
0,42.45899963378906,1,0,37,5,48.5989990234375,0,0
0,27,1,0,48,5,47.5,0,0
0,101.9489974975586,1,0,53,3,32.5,0,1
0,22.739999771118164,1,1,55,7,15.99899959564209,0,0
0,20.579999923706055,1,0,63,2,2.999000072479248,0,0
1,96.86399841308594,1,0,42,3,-9.380000114440918,1,0
0,47.40299987792969,0,0,46,3,-0.3009999990463257,0,0
0,11.093999862670898,1,0,51,3,-0.30000001192092896,0,0
1,51.05099868774414,1,0,55,2,62,1,0
1,34.74300003051758,1,0,56,4,36.5,1,1
0,54.62099838256836,0,0,37,4,5.300000190734863,0,1
0,47.3849983215332,1,0,36,6,-0.8999999761581421,0,0
0,46.74599838256836,1,0,51,3,0.8989999890327454,0,0
0,103.45500183105469,0,1,44,1,68.24800109863281,0,0
1,24.209999084472656,1,0,44,6,5.590000152587891,1,0
0,34.88999938964844,1,0,44,5,-1.184000015258789,0,0
0,63.43199920654297,1,0,26,2,23.39699935913086,0,1
0,44.268001556396484,1,0,44,3,-2,0,0
0,44.507999420166016,1,0,27,3,-4.198999881744385,0,0
1,26.190000534057617,1,0,50,2,63.249000549316406,0,1
0,38.94900131225586,1,0,60,2,0.5989999771118164,0,0
0,12.869999885559082,0,1,31,1,2.799999952316284,0,0
1,17.483999252319336,0,0,57,3,27.999000549316406,1,0
0,36.87300109863281,1,0,29,2,-4.900000095367432,0,0
0,17.040000915527344,1,0,27,3,-0.2750000059604645,0,0
0,22.136999130249023,0,0,50,1,0.1599999964237213,0,0
0,25.020000457763672,0,1,36,1,0.10000000149011612,0,0
1,39.28799819946289,0,1,27,1,6.599999904632568,0,0
0,26.924999237060547,1,0,39,5,-2.4000000953674316,0,0
0,23.660999298095703,0,0,33,1,4.099999904632568,0,0
0,28.799999237060547,1,0,42,4,-1.5,0,0
1,23.660999298095703,1,0,41,4,-3.4519999027252197,0,0
0,44.775001525878906,1,0,34,4,-26.280000686645508,0,0
0,68.04000091552734,1,1,31,5,44.75,0,1
0,29.525999069213867,0,0,44,4,18.448999404907227,0,1
0,32.02199935913086,1,0,35,3,0.4490000009536743,0,0
0,52.20000076293945,1,0,32,4,15,0,0
0,53.040000915527344,1,0,30,4,-4,0,0
1,43.470001220703125,1,0,41,5,-0.699999988079071,1,0
1,42.84000015258789,1,0,47,2,89.66400146484375,1,0
1,43.2599983215332,1,0,38,4,10.199999809265137,1,1
1,68.6760025024414,1,0,39,4,1.0499999523162842,1,0
0,23.74799919128418,0,1,31,1,-1.5499999523162842,0,0
0,19.68000030517578,1,0,48,4,0.07999999821186066,0,0
0,29.604000091552734,0,0,28,3,-15.899999618530273,0,0
1,24.059999465942383,0,0,43,1,18.5,1,1
0,15.539999961853027,0,1,46,1,-2,0,0
1,49.380001068115234,1,0,56,4,37.400001525878906,1,0
1,54.59700012207031,1,0,42,4,1.7000000476837158,1,0
0,18.468000411987305,0,0,55,1,-0.5,0,0
0,39.680999755859375,0,0,49,3,11.89900016784668,0,0
0,89.11799621582031,1,0,35,3,-315.70098876953125,0,0
0,10.79699993133545,0,1,57,2,0,0,0
0,42.02399826049805,1,0,44,4,-1.2000000476837158,0,0
0,44.474998474121094,1,0,37,2,0.7490000128746033,0,0
0,29.36400032043457,0,0,30,1,-9.100000381469727,0,0
1,33.540000915527344,1,0,55,2,18.548999786376953,1,1
0,27.56100082397461,1,0,50,4,0.8399999737739563,0,0
1,29.465999603271484,0,1,43,2,123.63899993896484,1,1
0,139.13699340820312,1,1,46,2,9,0,0
0,20.43000030517578,0,0,49,1,0.5,0,0
0,18.014999389648438,0,1,31,1,2,0,0
1,34.67100143432617,0,1,33,1,-11.399999618530273,1,0
1,65.555999755859375,1,0,34,4,9.145000457763672,1,0
0,20.43000030517578,0,0,30,1,0.49900001287460327,0,0
1,22.527000427246094,0,0,43,1,1.1490000486373901,0,0
1,54.07500076293945,0,1,41,1,68.4489974975586,1,0
0,12.243000030517578,0,0,36,2,0.29899999499320984,0,0
1,10.368000030517578,1,0,40,3,4.947000026702881,1,1
1,14.039999961853027,0,0,40,2,1,1,0
1,43.31399917602539,1,1,30,2,4.5,0,0
0,29.615999221801758,0,0,62,2,5.071000099182129,0,1
0,26.8799991607666,1,0,62,3,99.3499984741211,0,0
0,18.999000549316406,0,1,25,2,-3.049999952316284,0,0
0,25.5,1,0,28,4,2.4000000953674316,0,0
1,52.96200180053711,1,0,33,3,-9.800000190734863,0,0
1,20.56800079345703,1,0,47,2,-0.06400000303983688,0,0
0,35.49300003051758,1,0,26,4,-2.319999933242798,0,0
1,50.16299819946289,0,0,55,3,53.525001525878906,1,0
1,64.10399627685547,1,0,36,5,51.20000076293945,1,0
0,38.939998626708984,1,0,61,3,36.5,0,1
1,35.652000427246094,0,0,44,2,-3.200000047683716,0,0
0,12.375,1,0,26,4,-0.6000000238418579,0,0
0,13.727999687194824,1,0,44,5,-4.107999801635742,0,0
0,17.229000091552734,0,0,33,2,0.37400001287460327,0,0
0,15.887999534606934,0,1,27,2,-0.15000000596046448,0,0
1,119.36399841308594,1,0,50,2,72.0999984741211,0,1
1,65.84400177001953,1,0,40,3,6.598999977111816,0,1
0,34.68600082397461,1,0,44,5,-39.915000915527344,0,0
0,21.947999954223633,0,0,54,1,20.75,0,1
0,23.634000778198242,0,0,48,2,0,0,0
0,34.68000030517578,1,0,40,5,1.600000023841858,0,0
0,35.61600112915039,0,0,42,1,42.499000549316406,0,1
1,59.34000015258789,1,0,63,2,21.298999786376953,1,1
0,21.600000381469727,1,0,28,4,-0.800000011920929,0,0
0,49.00199890136719,1,0,61,5,-29.000999450683594,0,0
1,136.38900756835938,1,1,60,2,141.22300720214844,1,1
0,28.829999923706055,0,1,26,1,6.89900016784668,0,1
1,27.104999542236328,0,0,42,2,-5.519999980926514,1,0
0,31.697999954223633,0,0,25,1,-2.9700000286102295,0,0
1,32.24399948120117,1,1,35,2,2.140000104904175,1,1
1,53.099998474121094,1,0,34,4,6.199999809265137,1,0
